num;enonce;reponseA;reponseB;reponseC;reponseD;bonne_reponse;chapitre;image
1;Quelle est l'écriture en base 2 du nombre $(154)_{10}$ ?;10011100;10011001;11010;10011010;D;10;
2;Que peut-on dire de l'écriture en base 2 d'un nombre divisible par 2 ?;Elle ne contient pas de 0;Elle se termine par 0;Elle ne contient qu'un seul 1;Elle contient deux 1;B;10;
3;Quelle est l'écriture en base 10 du nombre $(01101100)_{2}$ ?;216;108;54;4;B;10;
4;Quelle est l'écriture en base 16 du nombre $(165)_{10}$ ?;95;A5;B5;C5;B;10;
5;En base 12, combien il y a-t-il de chiffres ?;10;11;12;13;C;10;
6;Si l'écriture en base 2 d'un nombre ne comporte qu'un seul 1, alors ce nombre :;n'est pas une puissance 2;est une puissance de 2;est divisible par 2;n'est pas divisible par 2;B;10;
7;Quelle est l'écriture en base 10 du nombre $(B2)_{16}$ ?;112;162;178;194;C;10;
8;Pour écrire les nombres entre 1 et 100 en base 2, on a besoin au maximum de :;5 chiffres;6 chiffres;7 chiffres;8 chiffres;C;10;
9;Quelle est l'affirmation exacte ?;Le codage UTF-8 est sur 7 bits.;Le codage UTF-8 est sur 1 octet.;Le codage UTF-8 est sur 1 à 4 octets.;Le codage UTF-8 est sur 4 octets.;C;10;
10;On a écrit une fonction qui prend en paramètre une liste non vide et qui renvoie son plus grand élément. Combien de tests faudrait-il écrire pour garantir que la fonction donne un résultat correct pour toute liste ?;Il faudrait écrire une infinité de tests, on ne peut pas prouver que cette fonction est correct simplement en la testant;Deux tests : pour une liste à un élément et pour une liste à deux éléments ou plus.;Trois tests : pour une liste vide, pour une liste à un élément et pour une liste à deux éléments ou plus.;Deux tests : pour le cas où le plus grand élément est en début de liste et pour le cas où le plus grand élément n'est pas en début de liste;A;4;
11;"Quelle affirmation concernant la fonction ci-dessous (où `x` et `y` sont des entiers naturels) est fausse ? 
```python
def f(x,y):
    s=x
    t=y
    while t>0:
        s=s+1
        t=t-1
    return s
```
";La propriété `s+t=x+y` est un invariant de boucle;La valeur finale de `t` est 1;"La propriété ""`t` est supérieur ou égal à 0"""""" est un invariant de boucle""";Le résultat renvoyé est égal à la somme `x+y`;A;9;
12;"Donner un invariant de boucle de l'algorithme suivant qui permet de calculer la somme des `N` premiers entiers (où `N` est un nombre entier) :
```python
i=0
while i<N:
    i=i+1
    somme=somme+i
```
";`somme = 0+1+2+...+i` et `i<N`;`somme = 0+1+2+...+N` et `i<N`;`somme = 0+1+1+...+i` et `i<N+1`;`somme = 0+1+2+...+N` et `i<N+1`;B;9;
13;"Quel test va permettre de détecter l'erreur dans la fonction Python suivante qui ne calcule pas toujours correctement le résultat de $x^y$ (avec $x$ et $y$ entiers) ?
```python
def puissance(x,y);
    p=x
    for i in range(y-1):
        p=p*x
    return p
```";`puissance(2,0)`;`puissance(2,1)`;`puissance(2,2)`;`puissance(2,10)`;A;4;
14;Pour pouvoir utiliser un algorithme de recherche par dichotomie dans une liste, quelle précondition doit être vraie ?;La liste doit être triée.;La liste ne doit pas comporter de doublons.;La liste doit comporter uniquement des entiers positifs.;La liste doit être de longueur inférieure à 1024.;A;9;
15;"La fonction suivante doit calculer la moyenne d'un tableau de nombres. Avec quelles expressions faut-il compléter l'écriture pour que la fonction soit correcte ?
```python
def moyenne(tableau):
    total = ...
    for valeur in tableau:
        total=total+valeur
    return total/...
```";`0` et `len(tableau)`;`0` et `len(tableau)+1`;`1` et `len(tableau)`;`1` et `len(tableau)+1`;A;2;
16;Dans une recherche par dichotomie, combien de comparaisons faut-il faire au maximum pour savoir si une valeur se trouve ou non dans un tableau trié de 1000 nombres ?;3;10;1000;2000;B;9;
17;Que peut-on dire de l'entier relatif $101001_2$ codé sur 8 bits en complément à deux ?;Cet entier est pair.;Cet entier est négatif.;Cet entier est positif.;Ce entier vaut $-23_{10}$.;B;10;
18;Quel est l'entier relatif codé en complément à deux sur un octet par $11111111$;$-1$;$-128$;$-127$;255;A;10;
19;Le complément à deux sur un octet de $10110100_2$ est :;$01001011_2$;$00110100_2$;$01001000_2$;$01001100_2$;D;10;
20;Si $1011_2$ est un entier signé sur quatre bits en complément à 2, alors sa valeur décimale est :;$-7$;$-5$;5;7;B;10;
21;Donner l'écriture de $-3_{10}$ en complément à deux sur quatre bits :;111;1101;1011;1111;B;10;
22;"On donne ci-dessous une variable Python `pays` contenant une liste de dictionnaires. Parmi les propositions, quelle variable contient `Paris` ?
```python
pays = [
{'Nom':'France','Capitale':'Paris'},
{'Nom':'Allemagne','Capitale':'Berlin'},
{'Nom':'Espagne','Capitale':'Madrid'}]
```
";`pays[0]['Capitale']`;`pays[1]['Capitale']`;`Nom[0]['Capitale']`;`Capitale['France']`;A;5;
23;En python, la définition d'une fonction commencer par le mot clé :;`function`;`def`;`import`;`return`;B;1;
24;Quelle instruction permet de créer une boucle qui va répéter 5 fois  les instructions indentées qui suivent ?;`for ma_variable in range(5)`;`for ma_variable in range(5):`;`for ma_variable in 5:`;`if ma_variable in 5:`;B;1;
25;Quelle instruction permet de tester si la variable `essais` vaut 10 ?;`if essais=10`;`if essais==10`;`if essais==10:`;`if essais in 10:`;C;1;
26;Une boucle `while` :;s'exécute tant qu'une condition est vraie et donc peut être infinie.;s'exécute un nombre prédéfinie de fois;s'exécute toujours une infinité de fois;s'exécute jusqu'à ce que l'utilisateur réponde correctement;A;1;
27;"Quel sera le résultat de l'exécution du programme Python suivant ?

```python
n = 5
p = 1
while n>0:
    p = p*2
```
";Une boucle infinie;Une boucle se répétant cinq fois;Une `Syntax Error`;Une `Indentation Error`;A;1;
28;"Quelles seront les valeurs des variables `s` et `i` à la fin de l'exécution du programme suivant ?

```python
s = 0
i = 1
while i < 5:
    s = s + i
    i = i + 1
```
";`s=10` et `i=4`;`s=10` et `i=5`;`s=15` et `i=5`;Aucunes car ce programme produit une erreur.;B;1;
29;"Quelle instruction permet d'exécuter une boucle tant que les variables `a` et `b` sont toutes les deux inférieures strictement à 10.
";`while a<10 or b<10`;`while a<10 or b<10:`;`while a<10 and b<10`;`while a<10 and b<10:`;D;1;
30;"Quel est la valeur de la variable `b` après exécution de ce programme :

```python
a = 10
if a%2==0:
    b=1
else:
    b=2
```";`b=1`;`b=2`;`b=10`;Aucune car ce programme produit une erreur;A;1;
31;"Quel sera la valeur de la variable `compteur` après l'exécution du programme suivant ?

```python
compteur = 1
compteur += 1
```";Aucune car `+= 1` provoque une erreur;`compteur` vaudra 2 car `+= 1` permet d'augmenter de 1 une variable;`compteur` vaudra 0 car `+= 1` permet de diminuer de 1 une variable;`compteur` vaudra 1 car `+= 1` ne modifie pas sa valeur;B;1;
32;Quel est l'opérateur booléen qui vaut 1 seulement lorsque les deux opérandes valent 1 ?;Or;And;Nor;Nand;B;1;
33;Parmi les propositions suivantes, quelle expression est égale à `not(a and b)` ?;`(not a) and (not b)`;`(not a) or (not b)`;`(not a) and  b`;`a and (not b)`;B;1;
34;"Quelles sont les valeurs manquantes dans la table de vérité suivante :

| a | b| not a | b or (not a) | 
|---|--|-------|--------------|
|0|0|1|1|
|0|1|1|1|
|1|0|?|?|
|1|1|0|1|
";0 et 0;0 et 1;1 et 0;1 et 1;A;1;
35;Que vaut la variable `a` après exécution de l'instruction `a=[0.5*x for x in range(4)]` ?;`[0.0,0.5,1.0,1.5,2.0]`;`[0,1,2,3,4]`;`[0,1,2,3]`;`[0.0,0.5,1.0,1.5]`;D;2;
36;"Si `alpha=['A','B','C','D','E','F','G','H']` quelle est l'expression permettant d'accéder à la lettre 'E' ?";`alpha4`;`alpha[4]`;`alpha(4)`;`alpha.E`;B;2;
37;Parmi les propositions suivantes, laquelle est exacte ?;Un algorithme glouton fournit toujours une solution optimale;Un algorithme glouton est un algorithme testant toutes les combinaisons possibles;Un algorithme glouton ne donne pas toujours une solution optimale;Un algorithme glouton consomme enormément de mémoire;C;7;
38;Quel est le résultat de l'algorithme glouton pour le rendu de monnaie si le système monétaire contient les pièces suivantes : 2, 4, 7, 15 et 20 et que la somme à rendre est 38 ?;15,15,4,4;20,7,7,4;7,7,7,7,4,4,2;L'algorithme échoue et ne parvient pas  à rendre une somme de 38;D;7;
39;Cocher la réponse correcte parmi celles proposées :;Un algorithme glouton procède en effectuant des choix aléatoires;Un algorithme glouton teste toutes les solutions possibles;Un algorithme glouton procède étape par étape en effectuant un choix optimum local;Un algorithme glouton procède par essai/erreur, en revenant en arrière lorsqu'un mauvais choix a été effectué;C;7;
40;Parmi les problèmes de rendu de monnaie suivants, cocher celui pour lequel l'algorithme glouton ne donne **pas** un résultat optimal :;Somme à rendre = 18 et valeurs = 13,6,3,1;Somme à rendre = 55 et valeurs = 20,10,5,2,1;Somme à rendre = 27 et valeurs = 10,6,3,1;Somme à rendre = 34 et valeurs = 20,10,5,2,1;A;7;
41;On considère un problème du sac à dos avec un poids maximum de 2 kg et les objets suivants : ordinateur (1500 €, 1.8 kg), téléphone (900 €, 1.2 kg) et livre (700 €, 0.7 kg). On suppose qu'on utilise un algorithme glouton classant les objets par **valeur décroissante**. Alors :;La solution optimale est téléphone+livre et celle de l'algorithme glouton est ordinateur seul;La solution optimale et celle de l'algorithme glouton sont les mêmes : téléphone+livre;La solution optimale et celle de l'algorithme glouton sont les mêmes : ordinateur seul;La solution optimale est ordinateur seul et celle de l'algorithme glouton est téléphone+livre ;A;7;
42;Pour le problème du sac à dos, l'algorithme glouton consiste à :;Générer des combinaisons aléatoires d'objets et les tester;Tester toutes les combinaisons possibles et prendre la meilleure;Classer les objets suivant un critère et prendre les mieux classés en premier;Classer les objets afin d'en éliminer certains puis choisir parmi ceux qui restent;C;7;
43;On applique l'algorithme du tri par sélection à la liste `[9,11,7,16]`, après la première étape, le contenu de la liste sera :;`[11,9,7,16]`;`[7,11,9,16]`;`[16,11,7,9]`;Aucune des propositions ci-dessus;B;8;
44;On applique l'algorithme du tri par insertion à la liste `[9,11,7,16]`, quel sera le contenu de la liste après le premier échange ?;`[11,9,7,16]`;`[9,11,16,7]`;`[9,7,11,16]`;Aucune des propositions ci-dessus;C;8;
45;L'algorithme du tri par insertion a une complexité :;logarithmique;linéaire;quadratique;exponentielle;C;8;
46;Un programme de tri par insertion prend environ 1 seconde pour trier une liste de $10\,000$ éléments, combien de temps prendra-t-il environ pour trier une liste de $100\,000$ éléments ?;1 seconde;10 secondes;100 secondes;1000 secondes;C;8;
47;"Quelles sont les deux lignes manquantes dans la fonction ci-dessus qui renvoie le minimum d'une liste non vide :
```python linenums='1'
def min_liste(liste):
    elt_min = ....
    for elt in liste:
        if elt<elt_min:
            ......
    return elt_min
```";La ligne 2 est `elt_min=liste[1]` et la ligne 5 est `elt_min=elt`;La ligne 2 est `elt_min=liste[1]` et la ligne 5 est `elt=elt_min`;La ligne 2 est `elt_min=liste[0]` et la ligne 5 est `elt=elt_min`;La ligne 2 est `elt_min=liste[0]` et la ligne 5 est `elt_min=elt`;D;2;
48;Le nombre à virgule $0,3_{10}$ :;est représenté exactement en machine par $3/10$;est représenté exactement en machine par $0,11_{2}$;ne peut pas être représenté exactement en machine car c'est un nombre à virgule;ne peut pas être représenté exactement car son écriture dyadique est illimitée;D;14;
49;Le nombre à virgule $0,25_{10}$ :;est représenté exactement en machine par $0,1_{2}$;est représenté exactement en machine par $0,01_{2}$;ne peut pas être représenté exactement en machine car c'est un nombre à virgule;ne peut pas être représenté exactement car son écriture dyadique est illimitée;B;14;
50;Quelle est  l'écriture décimal de $0,11_{2}$ ?;$0,5$;$0,25$;$0,75$;$0,3$;C;14;
51;Quelle est  l'écriture dyadique de $0,625_{10}$ ?;$0,101_{2}$;$0,011_{2}$;$0,110_{2}$;$0,111_{2}$;A;14;
52;Un seul des nombres suivants n'a pas une écriture finie en base 2, lequel ?;$1,25_{10}$;$1,5_{10}$;$1,6_{10}$;$1,75_{10}$;C;14;
53;Parmi les dispositifs d'entrée et de sortie suivants, lequel est uniquement un capteur ?;Le thermomètre;La diode;L'écran tactile;Le moteur pas à pas;A;1111;
54;Parmi les dispositifs suivants, lequel est à la fois un capteur et un actionneur ?;Une diode;Une boussole;Un accéléromètre;Un écran tactile;D;1111;
55;En python, par quel caractère commence une ligne de commentaire ?;`$`;`?`;`#`;`:`;C;1;
56;"Dans une console Python, que va afficher l'interpréteur si on écrit :
```>>> 25 % 2```";12;1;0;une erreur;B;1;
57;Quel faut-il écrire pour importer la librairie `math` dans Python ?;`import math`;`with math`;`math import`;`from math`;A;1;
58;Quel faut-il écrire dans un terminal Python pour calculer $2^{20}$ ?;`2%20`;`2*20`;`2^20`;`2**20`;D;1;
59;Dans la console Python, que faut-il écrire pour obtenir le **quotient** dans la division euclidienne de 127 par 8 ?;`127/8`;`127%8`;`127//8`;`127%%8`;C;1;
60;En Python, un nombre en écriture hexadécimale commence par :;`0b`;`0x`;`0$`;`0#`;B;10;
61;En Python, quelle fonction permet de convertir un nombre en écriture binaire ?;`bin`;`hex`;`chr`;`binary`;A;10;
62;Si `a` vaut `True` et `b` vaut `False`, que vaut l'expression `not(a and b)` ?;`False`;`True`;Cette expression renvoie une erreur;`None`;B;1;
63;Si l'expression `not(a or b)` vaut True, alors les valeurs possibles de `a`et `b` sont :;`True` et `True`;`True` et `False`;`False` et `True`;`False` et `False`;D;1;
64;"On considère un dictionnaire `contact` dont les clés sont des prénoms et les valeurs un numéro de téléphone. Quel résultat produira l'exécution du programme suivant :
```python
for c in contact:
    print(c)
```";L'affichage des clés et des valeurs du dictionnaire, c'est-à-dire les prénoms et les numéros de téléphone.;L'affichage des clés du dictionnaire, c'est-à-dire des prénoms.;L'affichage des valeurs du dictionnaire, c'est-à-dire les numéros de téléphone.;Ce code renvoie une erreur;B;5;
65;"On souhaite ajouter la clé `""Informatique""""""` associée à la valeur `18` à un dictionnaire `notes`. Quelle est la syntaxe correcte ?""";"`notes[""Informatique""""""] = 18`""";"`notes{""Informatique""""""} = 18`""";"`notes{""Informatique"""""": 18}`""";On ne peut pas ajouter de nouvelles clés à un dictionnaire;A;5;
66;Quel paramètre prend la fonction `open` et que renvoie-t-elle ? ;Elle prend en paramètre un nom de fichier et ne renvoie rien;Elle prend en paramètre un nom de fichier et  renvoie un descripteur de fichier;Elle ne prend aucun paramètre et renvoie un nom de fichier;Elle prend en paramètre un descripteur de fichier et renvoie un nom de fichier;B;3;
